TID,CID,CTID,title,artist
11188,9053,2,Guido e Ferrucio (La vita è bella),Nicola Piovani
11189,5823,1,016-Mama's Perl (karaoke),The Jackson 5
11190,5824,1,Glide,Nick Pynn
11191,9576,2,Fear (The Uninvited) (Angels in Shadowed Blue),Witching Hour
11192,5825,1,002-Cristales rotos,Estres
11193,6779,2,"Paska akka, märkä ämmä II (Kierre-elämä)",Kaytanhousuja
11194,8326,2,[untitled] (Mogari III),Akio Suzuki
11195,8148,4,Nature Boy - The Best Smooth Jazz... Ever!,Nat King Cole
11196,5826,1,Wicklow Mountain,Celtic Family
11197,5827,1,StuckintheGarden,Horner James
11198,5828,1,Jazz Liberatorz - Slow Down,
11199,5829,1,Tres filhetas / La barca vira - Tant que vire…,Balbelettes
11200,6772,3,"Karl Gerhard, Folkans Orkester - Jag är ett bedårande barn av min tid",
11201,1198,3,Tomas Heredia - When I'm With You (radio edit),
11202,6003,2,Partyalarm (Radioo Mix),Aquagen
11203,5830,1,"Fancy Colors (Group Portrait, Volume 1)",Chicago
11204,6863,3,Hey Chupacabra! (Lo-Fi in Los Feliz),Eddiemuerte
11205,5831,1,Something or Nothing - Free Me,Uriah Heep
11206,568,4,"Paolini, Christopher - Fírnen 4",
11207,5832,1,God Awful - Oh Albert,
11208,5833,1,"Et lite, stort mirakel - Klar",Trygve Dammann
11209,5830,2,Chicago - Fancy Colors,
11210,8925,2,011-All in Together,Wu-Block
11211,5834,1,003-Truck Stop (Auf Achse),Franz Ferdinand
11212,4919,2,001-Last Night In Soho,"Dave Dee, Dozy, Beaky, Mick & Tich"
11213,482,2,Anormale - Bravi ragazzi,I Melt
11214,6958,5,004-words of the mind brandnew ojurney (meet y friend mix),m.o.v.e
11215,1885,2,Quiéreme otra vez,OBK
11216,5835,1,-Kryptonite,The Rusty Pipes
11217,1143,2,Bones Solo (In Session),BoneZone
11218,5836,1,016-eMllow My Mind,Simply Red
11219,2083,4,"Prelude And Fugue In A Minor, BWV 894: Prelude - The Complete Keyboard Works Of J.S. Bach On Concord Concerto, Volume 15: Fantasias, Preludes, Fugues and Fughettas (Joao Carlos Martins)",Johann Sebastian Bach
11220,5837,1,Féline - C'est la vie,Gueules D'Aminche
11221,7368,2,"Denis Gaultier - La rhétorique des dieux: Suite nº 10 en la mineur: VIII. Courante et double ""La Champré""",
11222,5838,1,Garden of Eden,New Riders of the Purple Sage
11223,5839,1,Erin McKeown - The Jailer,
11224,1690,2,Johnny Hallyday - Jésus-Christ,
11225,600,3,Any Other Way (Live in Concert - Greatest Hits and More!),Smithereens
11226,5840,1,Jane la tarzane (Les Plus Grands Succès),Annie Cordy
11227,8173,2,Street Mix - The Underdog: El Subestimado,Chyno Nyno
11228,5841,1,X-Files Theme - Central Energy 3,Triple X
11229,5842,1,Kultūristu svings - Sātana radītā,Odis
11230,5843,1,003-Irish Ivanm's Spirit Song,Paul Howard & The Tender Trap
11231,5844,1,History of Our Love,Daniel Johnston
11232,5242,2,Circus Maximus - Robot Hive / Exodus,Clutch
11233,8874,2,Soyus 7 (Solid State mix) - Soyus 7 / Swing,Digiband
11234,5181,2,Frank Sinatra - Cheek to Cheek,
11235,6558,3,Art Mechanique,Spectral Emotions
11236,5845,1,Chaptter 12,"Amy Sedaris, Paul Dinello, Stephen Colbert"
11237,5846,1,"020-Four Pieces, op. 64: IV. Reminiscences",Anatol Liadov
11238,5847,1,Slackk - Five Venoms,
11239,5848,1,Tape (We'll Never Stop Living This Way: A Ghostly Primer),Cepiaa
11240,5383,3,"Concerto No. 4, BWV 1049: III. Presto (Brandenburg Concertos 4, 5 & 6 (Musica Antiqua Köln feat. conductor: Goebel))",Johann Sebastian Bach
11241,5849,1,Star A.D. - Ghouls,Mechanical Poet
11242,5850,1,The Get Up Kids - Overdue,
11243,480,4,Sister Helen: Vivace,William Wallace
11244,5851,1,Route Nationale 7 (Les tueurs de la lune de miel),Honeymoon Killers
11245,1080,2,Guess Who,Jesse Belvin
11246,5852,1,Fantasia terza,Jacopo Gianninoto
11247,5853,1,I Got You (Triple P),Pllatinum Pied Pipers feat. Tiombe Lockhart
11248,5854,1,Camille Saint-Saëns - Karneval der Tiere: Der Kuckuck im Wald (Süddeutsche Philharmonie feat. conductor: Hanspeter Gmür),
11249,5855,1,Ain't That Good News - Sister Holler,Nerissa & Katryna Nields
11250,5856,1,Mississsippi Arms,Annah Anti-Palindrome
11251,5857,1,Santa Claus Is Coming to Town (instrumental) - Disney's Karaoke Series: Christmas Favorites,[Disney]
11252,397,2,008-Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga,Johann Sebastian Bach
11253,7778,4,"St. James Infirmary, Part 2",Artie Saw
11254,5858,1,Out for Blood,Dustsucker
11255,5859,1,The Loneliest (Angels Without Wings),eHidi Talbot
11256,5552,4,My Pretty Pecker (Dr Dre Del's Mic of Defiance),Dr. Dre Del
11257,2715,2,The Journey - Hungarian Horizons: Live in Budapest,Steve Hackett
11258,5860,1,Glorified G,Pearl Jam
11259,2795,2,Letters: A Short Essay,echolyn
11260,1679,3,Hosannas - Catch Up to You,
11261,7769,5,003-War,AG & Party Arty
11262,6523,3,L.A. Song,Mohair
11263,5861,1,Kanye West - Barry Bonds (Eli Esocbar remix),
11264,3336,2,"Rolf Zuckowski - Grolli, das Schulwegmonster",
11265,7601,2,007-Days,Late Night Alumni
11266,5862,1,Wizdm - Reppin' 4 Brethren,
11267,7019,3,Open Casket (Leprosy),Death
11268,363,2,Na full - High School,B.R.O
11269,5863,1,027-Heres To Us (Lyric Video),Kevin Rudolf
11270,5864,1,Ian Van Dahl - Will I,
11271,5865,1,Cinnamon Girl - Goodbye Waterface,Neil Young
11272,5866,1,Hello (Turn Your Radio On) (Kuschelrock 7),uShakespears Sister
11273,2581,2,Roots Bloody Roots (Sepultura. The Complete Max Cavalera Collection 1987-1996),Sepultura
11274,5867,1,"Das Ist Elektro (Endzeit Bunkertracks, Act III)",Noisex
11275,5868,1,Echo Fifteen (Percussion Workshop),Nachum Heiman
11276,8055,3,"Golden Brown (MTV Raps, Volume 2)",Kaleef
11277,8452,2,He's My Guy (The Chronological Classics: Ella Fitzgerald 1941-1944),Ella Fitzgerald & Her Four Keys
11278,5869,1,Breathe in Breathe Out (Emotion Pills),Helluvah
11279,5870,1,002-,in cremonica mono+
11280,7806,4,The Black - 4:17 am,Before the Dawn
11281,5871,1,Oh Boy (Westwood 10),Cam'ron feat. Juelz Santana
11282,5872,1,Working at the Car Wash Blues (The Legendary Jim Croce),Jim Croce
11283,4288,4,014-Jamaica Jamaica,Special EFX
11284,5873,1,Moon Over Kara-Shehr,Emperor
11285,5874,1,003-Its All Coming Back to Me Now (The Moran Anthem 7 edit),Celine Dion
11286,5875,1,Out of the Blue - Country Life,Roxy Music
11287,8127,3,Jewish Wedding :30 (Global Party),Aaron Wheeler
11288,8810,3,ФСБ - Моят град,
11289,5876,1,"Old Enough to Love (The Best of Rick Nelson, Volume 2)",Ricky Nelson
11290,2660,3,Build Your Love - With a Twist,Alison Limerick
11291,5877,1,The Circumcised - Pain,
11292,5878,1,"Will the Circle Be Unbroken - Treasury of Bluegrass, Volume 2",Nitty Gritty Dirt Band
11293,3332,2,You,Sonrael
11294,9304,3,FRIDAY’S FREE FAIR (The Endless Basis),TERRA ROSA
11295,5879,1,Fakin' the Funk,MainSource
11296,1013,4,The Shadows - Apache (intro),
11297,67,3,Wind Hearse - ***,
11298,5452,3,011-It's Too Soon to Know,Irma Thomas
11299,4624,3,"001-Vesper Op. 37: Reading. ""Glory be to the holy...""",  
11300,5880,1,003-So Many Thing s,Sarah Brightman
11301,5881,1,"Clarinet Concerto in A major, K. 622",Wolfgang Amadeus Mozart
11302,865,3,Nice Work If You Can Get It - Sinatra-Basie: An Historic Musical First,Frank Sinatra & Count Basie
11303,5882,1,Silence Is a Romo (Night Walk),Petri Nieminen Ensemble with Anu Komsi & Petri Ikkelä
11304,8466,3,Ein Lied für Bielefeld,Harald Wehmeier & Detlev Gröning
11305,5883,1,009-Playgirl,Ladytron
11306,1278,2,001-Most_Gentlemen_Don't_Like_Love,Eddy Duchin & His Orchestra
11307,5884,1,No Beast So Fierce (Alpha Motherfuckers: A Tribute to Turbonegro),Maryslim
11308,4202,5,Stormy,Scott Walker
11309,2522,2,Phantasmic,Mark Sherry
11310,5885,1,Null Device -  Blindsighted,
11311,4534,2,When Tommy Came Marching Home,Avalon
11312,5886,1,Stick Up Kids - Wu-Block,Wu-Block feat. Jadakiss
11313,5887,1,"Polly (1993-11-18: R.I.P.: Sony Studios (Unplugged), New York City, NY, USA)",Nirvana
11314,5888,1,From Ashes Rise - Product of Lust,
11315,5889,1,Hungry,MC Eiht
11316,5511,5,[silence] (44),Tafs
11317,5890,1,"String Trio, Op. 4 No. 1: II. Allegro assai - Francesco Zappa",Frank zappa
11318,2821,3,Chica Bomb - NRJ Summer Hits Only 2010,Dan Bălan
11319,1710,3,Your Special Day,AndyVale
11320,5891,1,016-Keep Lovin' You (feat. Az) (remix),Dave Hollister
11321,5565,2,Just How Lucky We Are,Pete Ham
11322,5892,1,005-D'Nachban san Necha,Los Dos y Companeros
11323,5893,1,Jelly Roll Morton - Fish Tail Blues,
11324,5894,1,Päivä kerrallaan,Pate Mustajärvi
11325,5895,1,NaNuchKa - Waiting for Satie,
11326,5896,1,Predator (Submit to Genöcide),Genöcide
11327,809,5,Dancing in the Sun,George Howard
11328,3106,2,Are you happy now?,上木彩矢
11329,9841,2,Orichlacon - Warsoul,Ikazuchi Shirubi
11330,5897,1,Soft Shoes (Pleyel Concerts 1954),Gerry Mulligan Quartet
11331,5898,1,Sonar - State of Panic (Journey mix),
11332,5872,2,Jim Croce - Working at the Car Wash Blues,
11333,8154,2,013-Black Is the Color of My True Love's Hair,John Jacob Niles
11334,5899,1,Keyboard Man (typist),Bitscape
11335,9144,3,001-Old Weakness (Coming on Strong),Tanya Tucker
11336,5900,1,Symphoman - Chemin de traverse,William Sheller
11337,1013,5,Apache (intro) - The Final Tour,Shadows
11338,5901,1,Dirty South vs. Evermore - It's Too Late,
11339,5902,1,010-Free Spirit (Ashes to Ashes),Miten with Deva Premal
11340,8149,2,Horslips - Green Gravel,
11341,8873,2,Delbert Bump - In the Zone,
11342,5903,1,The Felt Tips - Silver Spoon,
11343,8606,2,Freeway feat. Hezekiah - As I Ever Been,
11344,5904,1,Colours,DJ Mind-X
11345,5905,1,002-Sunny Side of the Street,Jon Mosey
11346,3157,2,Technotrance - Boccaccio Life,D-Shake
11347,9077,3,001-Almost Brave,$wingin' Utter$
11348,1163,2,001-Wake Up (club remix),Interactive
11349,5906,1,004- -off vocal ver.-,
11350,5907,1,Three Stars,Tommy Dee
11351,50,2,010-Mi apuesta,Eruca Sativa
11352,1847,3,Konayuki Maifuru Kouen de * karaoke - Mamoru-kun ni Megami no Shukufuku wo! OP Single – MA MO RU!,富田麻帆
11353,5603,5,Guillaume Dufay - Ecclesie militantis,
11354,5480,3,Dead Leg (Beautiful Ones - four track demo),Suede
11355,439,3,On Our Way Blues,T‐Bone Walker
11356,5908,1,Cha'am (Plaże),Mikołaj Hertel
11357,5909,1,"Praveen - No Sky, No Rain!",
11358,7505,4,001-Baby One More Time,Britney Spears
11359,5910,1,Femi Kuti - Sorry Sorry (Old School Afro dub),
11360,9871,3,KISS - Deuce,
11361,5911,1,Elemental Synthesis - Reflections Within Dissonance,Arkai
11362,6467,3,Ask Me If I Care (Green Tambourine),Lemon Pipers
11363,5912,1,Słowo ciałem się stało,DAAB
11364,4509,2,Doctor and the Medics - Spirit in the Sky,
11365,5913,1,Harold Budd - Merry-Go-Round: Seven Colonnades,
11366,8729,3,010-Mi corazon (interlude),Safirre
11367,5914,1,En enää vaieta mä voi,Yona
11368,9572,2,011-Big Things Like This,Dan Bryk
11369,5915,1,Retro Trans Mission (Retro Transmission),Chrome
11370,1566,2,Tres Bien (nouveau disco mix) - Remix,Tigre
11371,3385,2,"Endless Love - Motown 50: Yesterday, Today, Forever (Japan Edition)",Diana Ross & Lionel Richie
11372,5916,1,Short Dick Man (radio mix),20 Fingers
11373,5917,1,Teena - Althara,
11374,5918,1,Renaud ''Papillon'' Paravel - Comme un loser,
11375,2963,2,Fuego en el alma,Santa
11376,5919,1,İlk Nurumsun (Haram) - Kül Kedisi,Kibariye
11377,5920,1,Stillpoint in Motion (All Our Ancestors),Tuu
11378,5921,1,Midnight Run,Jamie Kaleth
11379,1351,2,Tines Sang,Lars Lilholt
11380,4505,2,Groove Juice Special - The Groove Juice Special,Slim & Slam
11381,5922,1,I'm So Stoned (The Longest Barrel Ride),Slightly Stoopid
11382,2645,2,לב זהב - ניאל סלומון,דניאל סלומון
11383,5923,1,[untitled] - 楽しいね,神神聖かまってちゃん
11384,5924,1,012-Very Important Message,Sole
11385,5895,2,Waiting for Satie - Mediterranean,NaNuchKa
11386,5925,1,"Switchblade 5 (30) - Punk, Rock",Barie Gledden & Kes Loy & Richard Kimmings
11387,1036,2,005-Uncontrollable,Stereos
11388,8899,3,100001 1010101,OpenBSD
11389,5926,1,Let the Bass Kick (Commercial Breaks),Paul Witts
11390,7442,2,Here I Am (Nevins Dirtyrock club mix) (re-edit),Sertab Erener
11391,5025,2,"Wir Haben uns gerade noch gefehlt - Oh, ein Reh!",Grossstadtgeflüster
11392,5927,1,May Each Day (Can't Get Used to Losing You),Andy Williams
11393,5928,1,Wigwam (Jazz at the Hi-Hat),Sonny Stitt
11394,3108,3,Popol Vuh - In Deine Hände,
11395,5929,1,Manfred Mann - Pretty Flamingo,
11396,2941,4,Sammy Fain - Main Title (Alice in Wonderland),
11397,1452,2,Just Stay,Little Scout
11398,5930,1,La Veuve Clicquot - Rue Saint Louis en l'Île,Brigitte Fontaine
11399,9055,3,No Time to Waste (vocal),Dannny Davies
11400,5931,1,019-Cat's Chorus,Thomas Kane & Colin Baldry
11401,8688,2,Bonified Alcoholik Music Making Muthfucka - A Nightmare in Rotterdam - The Legend Returns,Angerfist
11402,6363,2,"Thrice Happy Lovers (An Epithalamium), Z. 629 No. 39 (Victorious Love)",Henry Purcell
11403,2246,3,023-Paper Lanterns,Green Day
11404,5932,1,Showbiz (That's How I Walk),Stephen Fearing
11405,204,3,"003-Palestrina: II. Akt, V. Szene ""Darf ich die Frage stellen, warum nicht nach der Reih""",Hans Pfitzner
11406,290,2,Margarita Gauthier (feat. Raúl Berón),Miguel Caló
11407,3344,3,003-Flowers in the Dirt,Das Pop Pop
11408,3367,2,090-Soul Chocolate,T . Winkie
11409,5933,1,Hurry Down Sunshine - Judgement Day Blues,
11410,5934,1,005-Kozn,Adra
11411,6586,2,"Tampereen aamu - Boogieteorian alkeet peruskoulun ala-astetta varten, lyhyt oppimäärä",Juice Leskinen Grand Slam
11412,5935,1,011-Ten Cay Moj swiat,DKA
11413,7199,3,012-Mist Over the Mersey,The Houghton  Weavers
11414,5936,1,006-Losin' Letters,Armchair Martian
11415,169,3,"Gorrendously Mutilated - Bestial Machinery Discography, Volume 1",Agoraphobic Nosebleed
11416,5937,1,"Body and Soul (Encyclopedia of Jazz, Part 3: Big Bands)",Earl Hines
11417,5938,1,"023-Me, You and Us Too",Small_Faces
11418,6345,5,Vampyr: Throne of the Beast,Black Funeral
11419,5939,1,Walking on the Moon (Psyche Pop Girl),José Le Gall && Richard Charest
11420,3754,4,"Prelude to Victory E (Broadcast Sports, Volume 1)",Phil Garrod & Reed Hays
11421,1546,2,Tommy Seebach - En lille stribe solskin,
11422,7381,4,020-Die alten Weisen,Ernst Busch
11423,5940,1,Into Trouble (The fight),Lilly Wood & The Prick
11424,5941,1,I Will Survive (30+30 Goue Sokkie Treffers 12),DJ Ret ro
11425,5942,1,"What's my destiny Dragon Ball - Fivelandia, Volume 18",Cristina D'Avena
11426,5430,2,Severance - Enter Sandman,
11427,5943,1,Theme From Wubble-U,Wubble-U
11428,5944,1,El viejo amor - Berretineando,New York Tango Jam Session
11429,5243,4,Genário - Apressadinho,
11430,1071,2,Slawischer Tanz nr. 1: Furiant (Classical Sampler),Antonín Dvořák
11431,2529,2,Parradise - Absolute Schlager,E-Type
11432,5945,1,Ralph Vaughan Williams - Romance and Pastorale: Pastorale. Andante con moto,
11433,5946,1,Nu är gubben glad igen,Bröde rna Slut
11434,5947,1,A Coffin,WarkoholiK
11435,5948,1,Electric Fence - She's So Bitch,
11436,5949,1,013-Keep Control Plus,Sono
11437,3434,2,015-Be My Lover,Off the Beat
11438,5950,1,Orphan Hate - Hidden Faces,
11439,7641,2,Silver Star of Bologna - Oskar und Leni,Penguin Cafe Orchestra
11440,2527,2,Jah a We Father (Zion Chant),Freddie McGregor
11441,5951,1,002-Fancy,Anthony Ellect
11442,970,2,Pasión (In the Place to Ci),Ciclo
11443,5952,1,If I Were a Rich Man - Songs From the Musicals,Topol
11444,5953,1,Lonely Nation - Nothing Is Sound,SwitCchfoot
11445,5954,1,Fernsehen mit deiner Schwester (Du trägst keine Liebe in dir),Echt
11446,5830,3,"Fancy Colors - Group Portrait, Volume 1",Chicago
11447,5772,2,"Voluntary in G major, Z. 720",Henry Purcell
11448,5955,1,ιΜα φυλακή (Τα θεμέλιά μου στα βουνά),ΓλυκερίOα
11449,5956,1,Shampooing révélateur 1 - Caramel,Khaled Mouzanar
11450,8064,3,Black,Therion
11451,6850,2,Heart of Glass,Blondie
11452,5957,1,Atsuki - Summer Lady,
11453,5958,1,Okulary (Piosenki Izy),Muzykoterapia
11454,1353,4,Adelante (Con el Alma),Massimo Di Cataldo
11455,5647,3,Die Cöllner - Huhzick em Dom,
11456,3656,4,Two Questions for Each Answer - Sweet Kicking and Screaming,Married to Music
11457,5959,1,Yours,Bing Crosby
11458,5960,1,End Title - How to Marry a Millionaire,Cyril Mockridge
11459,7131,3,Evil TV,HRisingson
11460,9477,3,Higher Power (ure Diamond Gold),Sadies
11461,1206,3,銀ちゃんのラブレター (A Message Song),Pizzicato Five
11462,5961,1,Kontra - pippeli,
11463,591,2,"What Child Is This? - Yaytime for Christmas, Volume 1",D.W. Read
11464,7252,2,"Tubular Bells, (Pt. 1)",Mike Oldfield
11465,1255,2,Snow,Loreena McKennitt
11466,6681,2,023-Dramamine,Sebadoh
11467,5962,1,Talakik,Hakim
11468,5963,1,"Allá en el rancho grande (Las 100 clásicas rancheras, volumen 2)",Tito Guízar
11469,4673,3,Get It Up for Love (Hard Candy),Ned Doheny
11470,5964,1,Stay Another Day (All Time Classic Tearjerkers),
11471,5965,1,ひとりぽっちで踊らせて (研ナオコ ベスト),研ナオコ
11472,5966,1,The Smashing Pumpkins - Ugly,
11473,5967,1,Voice of Hate - Demon Breath,
11474,5968,1,瞳ノ翼 (Instrumental),access
11475,5969,1,Keith Mansfield - Style Talks (g) (link),
11476,5702,2,n.a.,Don McLean
11477,9062,2,006-Get Back to Your Feet,Bakken
11478,1107,2,012-I Don't Need Another Love,Dionne Warwick
11479,5970,1,Marilyn Manson - Organ Grinder,
11480,5971,1,009-Phantopia,Marc de Clarq
11481,5972,1,Chi to Rome (Broke One edit),Lazy Ants & Rob Threezy
11482,5973,1,I Loves You Porgy (Rita Reys Sings the George Gershwin Songbook),Rita Reys
11483,5974,1,You're Old Enough to Fall in Love (Danny Bonaduce),Danny Bonaduce
11484,8861,3,Imitation of Life - ReveaJl,R.E.M.
11485,5975,1,Rabia-Sorda---Los-métodos,
11486,8167,2,"Up on Cripple Creek (Anthology, Volume 1)",Band
11487,1153,2,Para olvidarme de ti (Mis primeras canciones),Fernando Villalona
11488,5976,1,Rhythm Research - Altered States,Bob Holroyd
11489,2287,4,Rumours,Hot Chocolate
11490,5977,1,Mellow,Kubbi
11491,319,2,Misty Mountains 2,E. Miller
11492,5978,1,"Der guate alte Franz (1956) (Die alten, bösen Lieder)",Georg Kreisler
11493,1489,2,002-Get on My Camel (vocal mix by Major Boys) (feat. Charlotte),Paul Johnson
11494,8954,2,08-Rags To Riches,Tony Bennett
11495,5979,1,"Can't Get Enough of Your Love, Babe",Barry White
11496,5980,1,Alive (Red Razor),Red Razor
11497,5981,1,The Godskitchen Beyond Sound Anthem,Cosmic Gate
11498,5982,1,Retour de guerre,Le Revers Sanglant
11499,5983,1,Centered Sideways (Drink Me),n.a.
11500,3051,2,Millennium - Robbie Williams Hit Collection 2000,Robbie Williams
11501,5984,1,石川ひとみ - 問わず語り,
11502,5985,1,011-Chhariot Choogle,Heretix
11503,5986,1,"Agrippina, Act 3. Recit: Piega pur del mio cor/ Aria: Bel piacere (Agrippina (Capella Savarina / Nicholas McGegan))",Georg Friedrich Händel
11504,5687,2,Ciao Bello (Viva la Vita) (Das fühlt sich gut an),Rosanna Rocci
11505,8407,3,Everybody Wants to Rule the World - My World,Inigo Byrne
11506,5987,1,Don't Burn the Fires (Live Evil),Dead Moon
11507,6857,3,Terry Devine-King - Echoes From the Deep (stinger),
11508,5988,1,004-Bitterful,Sime Nugent and the Forefathers
11509,2888,4,007-HRock the Shack,New Order
11510,5989,1,003-Nineteen Eighty Bore,Crass
11511,5555,3,009-Crimes of Paris,Elvis Costello & The Attractions
11512,5990,1,014-Bicycle Rider,The Beach Boys
11513,681,2,Through the Fire and Flames - Sleeveless: A Purevolume Digital Collection,DragonForce
11514,5991,1,Your Molecular Structure - The Best of Mose Allison,Mose Allison
11515,5992,1,High Heel Sneaker (Just Rock'n'Roll Music),Bill Haley & His Comets
11516,1534,3,Wake Up (Parallel mix),Changall
11517,5993,1,Terry Pratchett - [untitled],
11518,5994,1,En Kold Fra Kassen - Ibrahim Electric Meets Ray Anderson Again,Ibrahim-Electric
11519,5995,1,007-Dynamic Fojrce,Delirious
11520,5996,1,"002-Store, small - Small crowd, cash area",Sound Ideas
11521,5997,1,I'm Still #1 (extended remix) (Jack of Spades / I'm Still #1),Boogie Down Productions
11522,5998,1,Fogbank (Jack Beats remix),Boy 8-Bit
11523,4542,2,Slussen 23:15 (Danvikstullsbron),
11524,5999,1,Bert Kaempfert & His Orchestra - Mombasa Rock,
11525,4190,4,Stand,Unashamed
11526,4651,4,Bulerías gitanas,Camarón dce la Isla
11527,6000,1,Warren Zevon - Werewolves of London,
11528,6001,1,Cowboys and Astronauts - A Collection of Headphone Songs,Stonedigger
11529,6002,1,That Lovely Smile (Light of Love),E.R.R.A.
11530,6003,1,001-Partyalarm (Radio Mix),Aquagen
11531,6004,1,Subdivisions - Signals,Rush
11532,8049,2,Gone Dead Train - Nazology,Nazareth
11533,6005,1,Due soli (Dal pesce alla luna: Canzoni dal 1998 al 2012),Radiodervish
11534,8105,3,008-Sucker,Mott the Hoople
11535,6006,1,Master of Puppets,Metallica
11536,89,5,039-Sunday on My Mind (original mix),Daniiel Stefanik
11537,6007,1,007-Oh!,Spinback SIociety
11538,7145,3,Fat and Frantic - I Don't Want to Say Goodbye,
11539,8431,3,Disasteradio - Light Cycle,
11540,5312,2,Alexis Korner's Blues Incorporaetd - Taboo Man,
11541,6008,1,Circles - 107.7 The End: End Sessions,Soul Coughing
11542,6009,1,Theydon JBois (Indicator),Oblong
11543,6010,1,012-Havin' Good Time,Def Dames Dope
11544,6011,1,"Oh, Lady Be Good!",Ella Fitzgerald
11545,8611,3,Patrck Verbeke - Blue Suede shoes,
11546,6012,1,TV-Heaven (The House One),SubCulture
11547,1156,2,Three Steps to Heaven (The Story of Rock Music Collection: Eddie Cochran / The Platters),Eddie Cochran
11548,6013,1,Little Gnat - The Rorschach Garden,Rorschach Garden
11549,6014,1,"Concerto in D major, K. 412: Rondo - Allegro - Complete Wind Concerti (Old Fairfield Academy Orchestra feat. conductor: Thomas Crawford)",Wolfgang Amadeus Mozart
11550,5012,3,Suite orientable - Paris Klezmer,Yankele
11551,8477,3,011-And Eve Was Weak,Michael Gore
11552,6015,1,Stuck Down a Mineshaft - Song Fight! Stuck Down a Mineshaft,Milwaukee Youth Center Choir
11553,6016,1,002-Ezer ez,erantzun
11554,6017,1,Ideme ďalej - Svetlo v tme,Zverina
11555,6369,3,003-Episode 1: No Grand Plan,Christopher Lee
11556,6975,3,Satisfaction (Afrojack remix) (Ministry of Sound: Sessions Seven),Benny Benassi
11557,6018,1,001-Song,  &  
11558,9248,2,nurzery [rhymes] - Sick Little Bitch,
11559,9491,4,Maybe You Were the One,Dude Mowrey
11560,6019,1,Keep Your Head (Never Heard of It),Never Heard of It
11561,6020,1,(Rostliny!,"Sledě, sledě"
11562,6021,1,Dangerous - Niccademus,Niccademus
11563,1201,3,Carnivora - Inhuman,
11564,4982,5,007-Balladen om Rickard Sandler,Tore Berger
11565,6022,1,"The Tallis Scholars - Joseph lieber, Joseph mein (H. Praetorius)",
11566,3570,2,Brainwash (Oddisee remix),yU
11567,533,2,Jonathan Mann- Coloring Outside the Hearts,
11568,8414,2,"Popscene - 1997-11-28: The Point, Dublin, Ireland, UK",Blur
11569,9700,2,008-vliegenmepper,Andre van Duin & Ferry de Groot
11570,6023,1,Ne veruj,Vrisak generacije
11571,6024,1,020-Debqa Habaya,Ora Sittner & Youval Micenmacher
11572,3095,2,Stupid Hoe,Nicki Miinaj
11573,4196,2,"Valses nobles et sentimentales: III. (Reger, Walker, Ravel, Liszt/Busoni (piano: Frederick Moyer))",Maurice Ravel
11574,7632,2,Of the Sung (Along the Quai),Berg Sans Nipple
11575,6025,1,001-I'm a King Bee,Slim Harpo
11576,8103,2,December (Beat Box),unknown
11577,6026,1,Baden Powell - The girl from Ipanema,
11578,2095,2,Sometimes (Dance Zone Level 9),Brand New Heavies
11579,6027,1,dragon fie whooshes - Historical Series Vol.6,[unknown]
11580,6028,1,"001-Interview & Making Making ""Inferno""",Motorhead
11581,8154,3,Black Is the Color of My True Love's Hair,John Jacob Niles
11582,5658,3,Hold Tight Hold Tight (Want Some Seafood Mama) (with The Andrews Sisters) (The Essence of Swing),Jimmy Dorsey & His Orchestra
11583,6029,1,Class War,Chicks on Speed and The No Heads
11584,6030,1,In the Heart - Intimacy,Opposition
11585,7633,2,Gia nella notte densa (The Pavarotti Edition),Luciano Pavarotti
11586,9778,2,"Mechanical Advantage - Unique, Just Like Everyone Else",Deepspace 5
11587,6031,1,Robot Riot,DJ T.
11588,5204,2,[unknown] - One Shots: Snare: One Shots Snares 78-02,
11589,9590,2,Business (Ö3 Greatest Hits Vol. 24),Eminem
11590,6032,1,J. Willis Pratt & We're Bionic - Do What You Wanna Do,
11591,6033,1,The Leaving Scene,Casey Black
11592,6034,1,007-Message From Maria,Nicky Thomas
11593,9911,2,011-Asylum I: Asylum,Yngwie J. Malmsteens Rising Force
11594,6035,1,The Mountain Goats - Minnesota,
11595,3412,2,011-Sweet Emotion (single version),
11596,5597,2,004-Saklanma,Yonca Lodi
11597,6036,1,Topaz - The Blackout Quintet,Antonelli
11598,4894,3,007-Za ljubav hvala ti,E.T.
11599,6037,1,011-Two Hearts,The 'B' Girls
11600,6038,1,Everything Falls Apart,Dog's Eye View
11601,1744,4,Обернитесь - Пенсне,Григорий Лепс
11602,6039,1,Roll Me Through the Rushes (Original Album Series),Chaka Khan
11603,6040,1,020-Spiegelmenschen (Minimal Electro Version),XTR Human
11604,6041,1,Creeper - Drop Beats Not Bombs,DJ_Zinc_feat._Dynamite_MC
11605,7483,2,On Drifting Sand,Suggs
11606,6042,1, Canción de Amor,Subhira
11607,4336,2,The Nightmare Continuues (A Nightmare Outdoor),Holy Noise
11608,515,5,Cent mille raisons,Mes Aieux
11609,6043,1,Sittin On A Goldmine (Intro,Smooke E. Digglera
11610,4289,2,地球は人物陳列室 - UTENA La Fillette Révolutionnaire Complete CD-BOX,光宗信吉
11611,6044,1,"Symphonie Fantastique, Op. 14: V. Dream of a Sabbath Night: D. Dies irae and Sabbath Round together (Symphonie Fantastique / The Sorcerer's Apprentice / Night on Bald Mountain)",
